 \pgfkeysvalueof{/fs-names/ext4}    & 41.575 & 1.303 & 262.744 &  4.367 & 2.214 & 0.027 &  8.668 & 0.073 \\
 \pgfkeysvalueof{/fs-names/btrfs}   & 13.462 & 0.711 & 307.772 &  7.123 & 1.161 & 0.024 &  5.826 & 0.017 \\
 \pgfkeysvalueof{/fs-names/xfs}     & 22.020 & 1.897 & 290.683 & 10.544 & 1.528 & 0.010 & 34.083 & 0.031 \\
 \pgfkeysvalueof{/fs-names/zfs}     & - & - & - & - & - & - & - & - \\
 \pgfkeysvalueof{/fs-names/nilfs2}  & - & - & - & - & - & - & - & - \\
 \pgfkeysvalueof{/fs-names/betrfs3} & - & - & - & - & - & - & - & - \\
 \pgfkeysvalueof{/fs-names/betrfs4} &  8.288 & 0.285 &  69.353 & 3.328 & 0.331 & 0.019 & 0.555 & 0.046 \\
 \pgfkeysvalueof{/fs-names/betrfs5} & - & - & - & - & - & - & - & - \\
