fs      avg        ci
ext4     52.519569  0.678150
btrfs    33.526483  1.600740
xfs     108.718098  2.227107
zfs      86.628932  2.662423
nilfs2   71.792480 12.689475
betrfs3  66.376226  2.679570
betrfs4  53.070470  2.421364
betrfs5  52.557945  3.156704

