fs      op    avg     ci
ext4    untar  19.527  1.520
ext4    tar    76.556  3.101
btrfs   untar  78.277  2.445
btrfs   tar   142.677  1.886
xfs     untar  18.454  1.223
xfs     tar   193.308  7.114
zfs     untar  10.175  0.648
zfs     tar    26.240  1.908
nilfs2  untar  19.411  1.570
nilfs2  tar    34.491 11.029
betrfs3 untar   9.378  0.262
betrfs3 tar    18.949  0.363
betrfs4 untar   9.571  0.285
betrfs4 tar    17.279  0.384
betrfs5 untar   9.801  0.385
betrfs5 tar    16.243  0.137

