 \pgfkeysvalueof{/fs-names/ext4}    &  68.521 &  0.199 &  6.384 & 0.048 & 11.683 & 0.858 \\
 \pgfkeysvalueof{/fs-names/btrfs}   & 138.787 &  0.683 &  2.675 & 0.127 &  5.700 & 0.397 \\
 \pgfkeysvalueof{/fs-names/xfs}     & 134.520 &  0.593 & 15.507 & 0.099 & 27.021 & 0.864 \\
 \pgfkeysvalueof{/fs-names/zfs}     & 452.775 & 15.318 & 10.219 & 0.718 & 10.381 & 0.645 \\
 \pgfkeysvalueof{/fs-names/nilfs2}  &  17.780 &  4.827 &  7.679 & 0.351 & 10.927 & 0.926 \\
 \pgfkeysvalueof{/fs-names/betrfs3} &   6.892 &  0.109 &  0.390 & 0.022 & 12.243 & 0.717 \\
 \pgfkeysvalueof{/fs-names/betrfs4} &   5.023 &  0.257 &  0.354 & 0.018 & 38.397 & 4.328 \\
 \pgfkeysvalueof{/fs-names/betrfs5} &   4.561 &  0.108 &  0.363 & 0.015 &  2.664 & 0.073 \\
