 \pgfkeysvalueof{/fs-names/ext4}    & 69.71 & 4.19 &  3.48 & 0.05 &  5.48 & 0.59 \\
 \pgfkeysvalueof{/fs-names/btrfs}   & 21.44 & 1.19 &  1.52 & 0.02 &  4.37 & 0.05 \\
 \pgfkeysvalueof{/fs-names/xfs}     & 67.64 & 2.96 &  2.24 & 0.44 & 27.35 & 1.06 \\
 \pgfkeysvalueof{/fs-names/zfs}     & 69.88 & 0.41 & 14.30 & 1.13 & 13.34 & 0.27 \\
 \pgfkeysvalueof{/fs-names/nilfs2}  & 22.40 & 0.11 &  9.19 & 0.05 & 19.04 & 0.19 \\
 \pgfkeysvalueof{/fs-names/betrfs3} & 15.69 & 0.07 &  0.30 & 0.01 & 13.87 & 2.29 \\
 \pgfkeysvalueof{/fs-names/betrfs4} & 15.31 & 0.10 &  0.30 & 0.01 & 36.86 & 0.81 \\
 \pgfkeysvalueof{/fs-names/betrfs5} &  3.97 & 0.20 &  0.24 & 0.01 &  3.27 & 0.14 \\
