files,time.usec,c_tp.fps,i_tp.fps
10000,641639,15585.087565,15585.087565
20000,642582,31124.432368,31124.432368
30000,643495,46620.408861,46620.408861
40000,766713,52170.760115,52170.760115
50000,1400298,35706.685291,52724.610134
60000,1403169,42760.351747,52590.959351
70000,1407049,49749.511211,52386.602650
80000,1572200,50884.111436,49659.398600
90000,2395124,37576.342603,40208.036380
100000,2413538,41432.9503,39589.496511
110000,2418058,45491.051083,39564.435134
120000,2591814,46299.618723,39230.532339
130000,3584637,36265.875736,33627.207101
140000,3599895,38890.023181,33716.663702
150000,3608292,41570.914992,33606.836975
160000,3815796,41930.962766,32680.219154
170000,5419360,31369.017744,21801.656163
180000,5435198,33117.468766,21794.766314
190000,5451642,34851.884992,21699.622969
200000,5914147,33817.218273,19062.587718
210000,7649544,27452.616783,17935.739831
220000,7657814,28728.825223,17996.810965
230000,7682564,29937.921767,17929.806600
240000,7983010,30063.848097,19334.291347
250000,9592330,26062.48951,20588.989214
260000,9618154,27032.21429,20404.623688
270000,9644564,27995.04467,20387.359837
280000,9974383,28071.911817,20086.643738
290000,11582547,25037.670903,20098.310888
300000,11609175,25841.629573,20090.194930
310000,11637478,26638.073988,20071.111950
320000,11923783,26837.1204,20519.134093
330000,13542993,24366.844168,20403.520423
340000,13555412,25082.232838,20552.481532
350000,13580514,25772.220403,20586.340140
360000,13872009,25951.540256,20531.498912
370000,15553147,23789.397734,19898.972915
380000,15574247,24399.25346,19813.407237
390000,15607925,24987.306128,19729.596022
400000,15890733,25171.90365,19814.496682
410000,17490939,23440.708358,20642.050334
420000,17495187,24006.602502,20823.138672
430000,17508414,24559.620306,21047.214691
440000,17834763,24670.919372,20575.814159
450000,19398234,23197.988023,20972.109716
460000,19409684,23699.509997,20893.216338
470000,19424358,24196.423892,20877.436919
480000,19713612,24348.658176,21289.629981
490000,21363144,22936.69883,20357.166486
500000,21383957,23382.014844,20260.622518
510000,21403236,23828.172525,20213.474504
520000,21721530,23939.381802,19921.132237
530000,23328870,22718.631464,20348.715945
540000,23345686,23130.611797,20390.176217
550000,23374081,23530.336872,20295.862942
560000,23683771,23644.883241,20384.855887
570000,25404994,22436.533541,19266.671933
580000,25420582,22816.157396,19278.074660
590000,25444114,23188.074067,19323.363444
600000,25754080,23297.279499,19320.787380
610000,27739969,21989.930847,17130.804398
620000,27759177,22334.956112,17104.286976
630000,27789965,22670.053741,17051.381354
640000,28184368,22707.622892,16458.954659
650000,29892624,21744.494562,18581.704918
660000,29900436,22073.256724,18680.598657
670000,29919845,22393.164136,18780.400774
680000,30222898,22499.496905,19621.982507
710000,32109564,22111.791988,18042.887945
690000,32107702,21490.170801,18121.966270
700000,32108266,21801.239594,18278.018718
720000,32318991,22277.923219,19083.122743
730000,34010695,21463.836596,21040.107178
740000,34025322,21748.508361,20859.190038
750000,34028536,22040.325214,20830.404058
760000,34298972,22158.098499,20202.214062
770000,36544444,21070.23437,15786.883389
780000,36693845,21256.971026,14989.565389
790000,36744371,21499.891779,14728.435269
800000,36952648,21649.328081,15073.430215
810000,39141382,20694.210542,15402.755091
820000,39165628,20936.725437,16182.650338
830000,39166961,21191.330111,16511.254484
840000,39538586,21245.06931,15468.274955
850000,41785040,20342.208599,15130.550170
860000,41804180,20572.105469,15159.830089
870000,41828663,20799.134794,15027.978339
880000,42324430,20791.774396,14358.305777
890000,44781142,19874.437325,13350.680317
900000,44800247,20089.174955,13350.836280
910000,44823913,20301.663534,13354.477923
920000,45382710,20272.037523,13079.247159
930000,47758211,19473.091235,13436.033898
940000,47796002,19666.916911,13352.226734
950000,47808747,19870.84079,13401.080261
960000,48116037,19951.767848,14634.180250
970000,50586513,19175.071427,14142.761275
980000,50604003,19366.056871,14245.009172
990000,50620651,19557.235643,14225.236708
1000000,51136872,19555.361149,13241.372005
1010000,53744028,18792.785684,12668.190017
1020000,53759879,18973.25699,12674.769224
1030000,53770208,19155.588909,12700.198790
1040000,54128266,19213.621216,13371.692261
1050000,56728082,18509.35133,13404.583161
1060000,56748728,18678.832766,13383.078235
1070000,56753474,18853.471419,13408.123848
1080000,57171697,18890.466029,13143.061236
1090000,61683572,17670.831384,8071.855659
1100000,61717578,17823.12326,8050.152450
1110000,61741726,17978.117424,8018.841069
1120000,62157876,18018.633713,8022.174896
1130000,64313139,17570.282178,15211.629900
1140000,64342980,17717.550539,15235.761990
1150000,64371808,17864.963495,15208.651289
1160000,64781399,17906.374637,15246.674033
1170000,67372411,17366.158976,13075.006080
1180000,67402232,17506.838646,13075.091558
1190000,67427363,17648.621376,13090.911471
1200000,67846212,17687.05967,13051.367245
1210000,70092463,17262.911706,14705.601216
1220000,70111698,17400.805212,14763.056632
1230000,70121969,17540.865117,14844.470769
1240000,70532979,17580.428582,14887.781486
1250000,72897061,17147.467715,14262.293562
1260000,72929900,17276.864496,14193.446744
1270000,72934053,17412.990884,14224.326158
1280000,73270274,17469.567536,14612.966450
1290000,75433679,17101.114742,15769.027895
1300000,75475803,17224.063188,15711.517682
1310000,75483998,17354.671648,15686.612849
1320000,75970333,17375.203555,14814.491091
1330000,78112749,17026.67,14930.554260
1340000,78170015,17142.122846,14846.641615
1350000,78178974,17268.070057,14842.432734
1360000,78652959,17291.148576,14910.762812
1370000,80882043,16938.246726,14444.114637
1380000,80935503,17050.613746,14463.993335
1390000,80951982,17170.672856,14424.769059
1400000,81516936,17174.345218,13966.592609
1410000,84014325,16782.85221,12770.242271
1420000,84050519,16894.60121,12841.025536
1430000,84057140,17012.237152,12881.792166
1440000,84390975,17063.435989,13917.695619
1450000,87305426,16608.36063,12153.987374
1460000,87359878,16712.477552,12086.932847
1470000,87380278,16823.018119,12036.815805
1480000,88018549,16814.63756,11026.653074
1490000,90761614,16416.631815,11573.444500
1500000,90830285,16514.315682,11526.025622
1510000,90831388,16624.209244,11590.473790
1520000,91439048,16623.095201,11694.200174
1530000,94534312,16184.599725,10602.491904
1540000,94597626,16279.478303,10617.568200
1550000,94624168,16380.593169,10546.353862
1560000,95236164,16380.33216,10534.310777
1570000,98104227,16003.387907,11204.748572
1580000,98161750,16095.882561,11222.954084
1590000,98183898,16194.101399,11236.807286
1600000,98801587,16194.071862,11218.865195
1610000,102056777,15775.532476,10120.049082
1620000,102282598,15838.471369,9706.739972
1630000,102297089,15933.982247,9724.809764
1640000,102705684,15967.957528,10245.647073
1650000,105911765,15579.005788,10376.167189
1660000,105925188,15671.437845,10981.197445
1670000,105938604,15763.847521,10984.439169
1680000,106491443,15775.915441,10565.912938
1690000,109976862,15366.868715,9839.863600
1700000,109986680,15456.417086,9848.597510
1710000,110046781,15538.846157,9736.678824
1720000,110501134,15565.45112,9975.831055
1730000,113628388,15225.068581,10954.324302
1740000,113971899,15266.921191,10037.089555
1750000,113994873,15351.56761,10131.476166
1760000,114632483,15353.414267,9682.067528
1770000,117489148,15065.221173,10360.654379
1780000,117711011,15121.779899,10697.727161
1790000,117730265,15204.246758,10708.380807
1800000,119732226,15033.546608,7843.532507
1810000,122856137,14732.678759,7452.968508
1820000,123042762,14791.60554,7502.225817
1830000,123112149,14864.495623,7432.341537
1840000,123560596,14891.478834,10448.310900
1850000,126470343,14627.935341,11067.437772
1860000,126620027,14689.61936,11181.726822
1870000,126708060,14758.335026,11123.745832
1880000,127720863,14719.599882,9614.767514
1890000,131403125,14383.219577,8109.014345
1900000,131789654,14416.913182,7737.502145
1910000,131822512,14489.179208,7820.974759
1920000,132357328,14506.185861,8627.262365
1930000,135769953,14215.221832,9159.966914
1940000,136126288,14251.472133,9223.743576
1950000,136139967,14323.493996,9264.717293
1960000,136882142,14318.887558,8840.142379
1970000,140291305,14042.210242,8846.911278
1980000,140758108,14066.685238,8635.914176
1990000,140787773,14134.750182,8606.211189
2000000,141373246,14146.948285,8906.496042
2010000,216752084,9273.267241,523.144029
2020000,217482673,9288.096252,521.345413
2030000,217731874,9323.393781,519.857916
2040000,218030860,9356.473666,521.800744
2050000,303088354,6763.704289,463.304704
2060000,303177516,6794.699116,466.772545
2070000,303355243,6823.682952,467.162183
2080000,303362512,6856.483309,468.759236
2090000,304959711,6853.364312,21374.863268
2100000,305017227,6884.857031,21742.545432
