renames readBW negerr poserr renames readBW negerr poserr
2180000 10628.818244 0 0 2180000 10628.818244 0 0
2190000 10611.462100 0 0 2190000 10611.462100 0 0
2200000 10635.411140 0 0 2200000 10635.411140 0 0
2210000 10461.195186 0 0 2210000 10461.195186 0 0
2220000 10504.056901 0 0 2220000 10504.056901 0 0
2230000 10489.965151 0 0 2230000 10489.965151 0 0
2240000 10508.259607 0 0 2240000 10508.259607 0 0
2250000 10345.989143 0 0 2250000 10345.989143 0 0
2260000 10389.271428 0 0 2260000 10389.271428 0 0
2270000 10357.207399 0 0 2270000 10357.207399 0 0
2280000 10386.344170 0 0 2280000 10386.344170 0 0
2290000 10249.627851 0 0 2290000 10249.627851 0 0
2300000 10283.049154 0 0 2300000 10283.049154 0 0
2310000 10251.897874 0 0 2310000 10251.897874 0 0
2320000 10290.500519 0 0 2320000 10290.500519 0 0
2330000 10136.841399 0 0 2330000 10136.841399 0 0
2340000 10173.166996 0 0 2340000 10173.166996 0 0
2350000 10152.646114 0 0 2350000 10152.646114 0 0
2360000 10186.909326 0 0 2360000 10186.909326 0 0
2370000 10014.097018 0 0 2370000 10014.097018 0 0
2380000 10046.859269 0 0 2380000 10046.859269 0 0
2390000 10019.068215 0 0 2390000 10019.068215 0 0
2400000 10037.017482 0 0 2400000 10037.017482 0 0
2410000 9836.242199 0 0 2410000 9836.242199 0 0
2420000 9866.657747 0 0 2420000 9866.657747 0 0
2430000 9853.699088 0 0 2430000 9853.699088 0 0
2440000 9882.407572 0 0 2440000 9882.407572 0 0
2450000 9721.134265 0 0 2450000 9721.134265 0 0
2460000 9753.052435 0 0 2460000 9753.052435 0 0
2470000 9726.237484 0 0 2470000 9726.237484 0 0
2480000 9763.067900 0 0 2480000 9763.067900 0 0
2490000 9597.712423 0 0 2490000 9597.712423 0 0
2500000 9632.793296 0 0 2500000 9632.793296 0 0
2510000 9605.870594 0 0 2510000 9605.870594 0 0
2520000 9642.387753 0 0 2520000 9642.387753 0 0
2530000 9476.861512 0 0 2530000 9476.861512 0 0
2540000 9513.231609 0 0 2540000 9513.231609 0 0
2550000 9473.276572 0 0 2550000 9473.276572 0 0
2560000 9507.323337 0 0 2560000 9507.323337 0 0
2570000 9355.335821 0 0 2570000 9355.335821 0 0
2580000 9385.125944 0 0 2580000 9385.125944 0 0
2590000 9357.853574 0 0 2590000 9357.853574 0 0
2600000 9393.470985 0 0 2600000 9393.470985 0 0
2610000 9240.299174 0 0 2610000 9240.299174 0 0
2620000 9275.029267 0 0 2620000 9275.029267 0 0
2630000 9251.751803 0 0 2630000 9251.751803 0 0
2640000 9280.424271 0 0 2640000 9280.424271 0 0
2650000 9140.863045 0 0 2650000 9140.863045 0 0
2660000 9165.213980 0 0 2660000 9165.213980 0 0
2670000 9142.415129 0 0 2670000 9142.415129 0 0
2680000 9174.800441 0 0 2680000 9174.800441 0 0
2690000 9032.001880 0 0 2690000 9032.001880 0 0
2700000 9059.724057 0 0 2700000 9059.724057 0 0
2710000 9021.975028 0 0 2710000 9021.975028 0 0
2720000 9054.599240 0 0 2720000 9054.599240 0 0
2730000 8903.313460 0 0 2730000 8903.313460 0 0
2740000 8927.731806 0 0 2740000 8927.731806 0 0
2750000 8903.778655 0 0 2750000 8903.778655 0 0
2760000 8935.784606 0 0 2760000 8935.784606 0 0
2770000 8804.862766 0 0 2770000 8804.862766 0 0
2780000 8831.316808 0 0 2780000 8831.316808 0 0
2790000 8812.831409 0 0 2790000 8812.831409 0 0
2800000 8840.465087 0 0 2800000 8840.465087 0 0
2810000 8709.999266 0 0 2810000 8709.999266 0 0
2820000 8735.153897 0 0 2820000 8735.153897 0 0
2830000 8711.916703 0 0 2830000 8711.916703 0 0
2840000 8740.734452 0 0 2840000 8740.734452 0 0
2850000 8609.097633 0 0 2850000 8609.097633 0 0
2860000 8632.980802 0 0 2860000 8632.980802 0 0
2870000 8612.958120 0 0 2870000 8612.958120 0 0
2880000 8642.857026 0 0 2880000 8642.857026 0 0
2890000 8518.366023 0 0 2890000 8518.366023 0 0
2900000 8536.430368 0 0 2900000 8536.430368 0 0
2910000 8519.251232 0 0 2910000 8519.251232 0 0
2920000 8547.544157 0 0 2920000 8547.544157 0 0
2930000 8421.935012 0 0 2930000 8421.935012 0 0
2940000 8442.996078 0 0 2940000 8442.996078 0 0
2950000 8424.276997 0 0 2950000 8424.276997 0 0
2960000 8447.572216 0 0 2960000 8447.572216 0 0

