fs, op, size.MB, time.s, throughput.MBps
betrfs5, seq.write, 10737.418240, 90.551491, 118.578039

betrfs5, seq.read, 10737.418240, 96.8800, 110.832145
betrfs5, seq.read, 10737.418240, 96.9303, 110.774631
betrfs5, seq.read, 10737.418240, 96.1418, 111.683141
betrfs5, seq.read, 10737.418240, 96.5103, 111.256708
betrfs5, seq.read, 10737.418240, 97.1967, 110.471016

betrfs5, rand.write, 1.048576, 5.336939, 0.196475
betrfs5, rand.write, 1.048576, 5.331786, 0.196665
betrfs5, rand.write, 1.048576, 5.388642, 0.194590
betrfs5, rand.write, 1.048576, 5.370601, 0.195244
betrfs5, rand.write, 1.048576, 5.420517, 0.193446

