files,time.usec,c_tp.fps,i_tp.fps
1470000,1547390160,949.986654,1299.122965
1480000,1567702515,944.05666,783.795038
1490000,1608401379,926.385677,438.692874
1500000,1634263000,917.844925,459.912889
1510000,1634340813,923.9199,460.031048
1520000,1653790054,919.100944,464.643321
1530000,1675371227,913.230438,597.283721
1540000,1728778996,890.802123,423.208787
1550000,1728905392,896.521005,422.991361
1560000,1728913328,902.30087,532.458157
1570000,1766990950,888.516152,436.587218
1580000,1789394381,882.980307,659.898473
1590000,1789493633,888.519507,660.194113
1600000,1789499525,894.104736,660.216386
1610000,1874757331,858.777813,371.173270
1620000,1903595773,851.021011,350.258428
1630000,1903669787,856.240936,350.335850
1640000,1903708448,861.476452,350.235331
1650000,2018011735,817.636474,279.223527
1660000,2061079924,805.403022,253.993813
1670000,2061170047,810.21942,253.967835
1680000,2061178515,815.067685,254.016530
1690000,2090279980,808.504132,553.493447
1700000,2154929558,788.888896,426.213703
1710000,2155890383,793.175763,422.295799
1720000,2155892358,797.813487,422.324749
1730000,2253297480,767.763695,245.372429
1740000,2281284995,762.728026,316.567304
1750000,2281292604,767.108961,318.973617
1760000,2281350593,771.472831,318.831203
1770000,2426697450,729.386352,230.680547
1780000,2427189306,733.358538,274.152283
1790000,2479280082,721.983778,202.032979
1800000,2479377251,725.988754,201.993006
1810000,2560823017,706.804019,298.228003
1820000,2561033133,710.650704,298.855770
1830000,2561048981,714.550957,489.183546
1840000,2561790710,718.247589,485.357616
1850000,2700917984,684.952305,285.520607
1860000,2778161434,669.50753,184.222876
1870000,2778187572,673.1007,184.214146
1880000,2778278487,676.678025,184.767937
1890000,2921375726,646.955468,181.440668
1900000,2922826234,650.05575,276.501264
1910000,2922849248,653.471951,276.507235
1920000,2922881564,656.886007,276.619287
1930000,3070022790,628.659828,269.093778
1940000,3159064775,614.1058,169.320382
1950000,3159088999,617.26656,169.319515
1960000,3229877922,606.834081,130.294705
1970000,3232285165,609.475928,246.514326
1980000,3319343074,596.503572,249.565913
1990000,3387907684,587.383183,174.810899
2000000,3387956756,590.326307,253.038304
2010000,3539649115,567.852896,130.138879
2020000,3618672596,558.21574,133.631991
2030000,3618726655,560.970804,173.295981
2040000,3619696989,563.583086,172.607059
2050000,3775497774,542.974761,169.600286
2060000,3850959509,534.931618,172.200833
2070000,3851014734,537.520665,172.199969
2080000,3851048476,540.112651,172.897095
2090000,4086971044,511.381162,128.421935
2100000,4088568623,513.627187,168.343711
