files,time.usec,c_tp.fps,i_tp.fps
1450000,86877610,16690.146057,12108.703464
1460000,86879619,16804.861909,12319.033399
1470000,86886442,16918.635016,12340.422906
1480000,87351178,16943.102931,12263.994751
1490000,90029439,16550.142004,12691.043835
1500000,90227086,16624.719544,11949.333630
1510000,90228925,16735.209912,11967.151366
1520000,90800247,16740.042568,11597.332498
1530000,93710639,16326.854841,10866.021949
1540000,93727973,16430.527096,11425.675836
1550000,93738893,16535.292347,11396.115292
1560000,94191216,16562.053939,11796.038242
1570000,97363021,16125.218629,10951.756963
1580000,97401578,16221.503105,10888.486922
1590000,97410402,16322.692108,10894.702968
1600000,97918865,16340.05868,10730.624047
1610000,100979165,15943.883077,11061.506400
1620000,101038007,16033.570417,10999.802279
1630000,101063052,16128.545178,10950.953417
1640000,101859566,16100.59874,10150.478303
1650000,104864393,15734.606884,10295.406087
1660000,104881523,15827.382674,10407.137631
1670000,104885438,15922.134014,10464.667880
1680000,105364150,15944.702254,11413.622844
1690000,108849145,15526.075101,10038.265869
1700000,108874860,15614.256588,10016.685294
1710000,108878437,15705.589161,10017.533187
1720000,109455716,15714.117662,9776.207936
1730000,112786575,15338.704983,10158.910762
1740000,112799778,15425.562274,10191.295716
1750000,112801582,15513.966817,10195.901502
1760000,113228677,15543.765472,10601.752841
1770000,116456926,15198.752541,10898.140260
1780000,116495185,15279.60147,10824.247505
1790000,116783734,15327.477027,10044.819987
1800000,117090464,15372.729243,10357.899076
1810000,122180310,14814.170958,6988.872317
1820000,122525460,14854.055639,6633.196662
1830000,122589013,14927.928329,6890.280381
1840000,122597917,15008.411603,7262.885403
1850000,124783255,14825.707183,15367.209065
1860000,125327811,14841.079447,14273.729451
1870000,125455596,14905.672283,13953.895631
1880000,125479302,14982.550668,13882.212894
1890000,130098388,14527.466705,7525.681860
1900000,130660861,14541.46242,7500.398459
1910000,130939276,14586.914319,7294.371663
1920000,130955624,14661.45509,7304.172399
1930000,133757964,14429.04738,10930.227983
1940000,134553321,14418.075939,10276.277727
1950000,134876229,14457.699585,10160.141612
1960000,134901003,14529.172922,10138.442973
1970000,138656217,14207.801443,8166.176798
1980000,139408544,14202.859762,8238.550526
1990000,139492941,14265.954863,8664.174850
2000000,139548608,14331.923684,8606.583391
2010000,221223848,9085.819717,484.451346
2020000,221328026,9126.724873,488.284338
2030000,221853883,9150.166644,485.667102
2040000,222000947,9189.14999,485.128748
2050000,316822524,6470.499553,418.415837
2060000,316888279,6500.713774,418.584074
2070000,316913579,6531.749149,420.788217
2080000,316937506,6562.808,421.333998
2090000,319378709,6543.955314,15648.319664
2100000,319437459,6574.056802,15691.320346
2110000,319456807,6604.961778,15728.043258
2120000,319462230,6636.152261,15843.315943
2130000,320985286,6635.818191,24897.655077
2140000,321035701,6665.925295,25027.498964
2150000,321053696,6696.699109,25048.704074
2160000,321059143,6727.732404,25048.327617
2170000,324317795,6690.968036,12002.968334
2180000,324383253,6720.445584,11949.030217
2190000,324406386,6750.791891,11930.718319
2200000,324651469,6776.497906,11134.846893
2210000,328689223,6723.676486,9150.327994
2220000,328764166,6752.56074,9130.516858
2230000,328770109,6782.855068,9166.484674
2240000,328849652,6811.623447,9527.931488
2250000,331504419,6787.239841,14208.602172
2260000,331624415,6814.93852,13984.796429
2270000,331648546,6844.595061,13896.430598
2280000,331773497,6872.158327,13680.615765
2290000,335887456,6817.759815,9126.092251
2300000,336267335,6839.796081,8615.267978
2310000,336440239,6866.003921,8347.780210
2320000,336561683,6893.238646,8353.894356
2330000,340543067,6842.012731,8591.783119
2340000,340673795,6868.740814,9077.581551
2350000,340686474,6897.837688,9420.109815
2360000,340708485,6926.742667,9645.987438
2370000,344306927,6883.393316,10627.387841
2380000,344540663,6907.74778,10344.288970
2390000,344815346,6931.246036,9687.876011
2400000,344980004,6956.924958,9364.350246
2410000,349958590,6886.52906,7077.562834
2420000,350299110,6908.381811,6946.317297
2430000,350339608,6936.126959,7240.786190
2440000,350648959,6958.526291,7055.974161
2450000,354771211,6905.859112,8311.479337
2460000,354969183,6930.179063,8565.176604
2470000,355029720,6957.164037,8528.580981
2480000,355362751,6978.784335,8485.737173
2490000,361154435,6894.557449,6266.425869
2500000,361279912,6919.842252,6338.411933
2510000,361430590,6944.625246,6249.150506
2520000,361733767,6966.449444,6278.433456
2530000,365207293,6927.572501,9869.578455
2540000,365209122,6954.919379,10180.163443
2550000,365399420,6978.664608,10078.537000
2560000,365529093,7003.5465,10539.279103
2570000,370365909,6939.083586,7754.017744
2580000,370374723,6965.918136,7743.532650
2590000,370526458,6990.054135,7801.775606
2600000,370770227,7012.429291,7631.936142
2610000,375773878,6945.666404,7396.492103
2620000,375852805,6970.814013,7301.825712
2630000,376023736,6994.239321,7276.328394
2640000,376231033,7016.965025,7324.926027
2650000,380977575,6955.789983,7686.842643
