# size renameTP
4096 114.902907044
8192 114.995400184
16384 93.9990976087
32768 114.976889645
65536 114.873868492
131072 72.8831100681
262144 115.027146407
524288 115.428122908
1048576 111.949488391
2097152 79.1289485345
4194304 115.340253749
8388608 76.0086345809
16777216 76.0248144995
33554432 71.7133759789
67108864 66.5663733308
