# size renameTP
4096 39.7943428362
8192 36.1253404813
16384 34.0766588518
32768 29.3284374395
65536 38.8566810177
131072 40.2107040894
262144 39.6551587396
524288 24.9249758228
1048576 30.6121199505
2097152 36.1504146453
4194304 32.5330210163
8388608 38.4502991433
16777216 40.2181432088
33554432 39.7994109687
67108864 30.1206633775
