# size renameTP
4096 38.9842269818
8192 37.3100916336
16384 37.8080410142
32768 38.480778851
65536 38.6862161012
131072 26.7514151499
262144 40.7913522333
524288 41.0937512842
1048576 37.4489757705
2097152 37.5288033566
4194304 35.8808754934
8388608 38.2995021065
16777216 39.4760735518
33554432 35.959322814
67108864 40.2032677216
