# size renameTP
4096 38.8033060417
8192 38.4245917387
16384 38.4284308903
32768 36.5823321968
65536 36.5831351747
131072 29.1141156879
262144 26.2989028098
524288 77.7919532004
1048576 61.7101105845
2097152 61.6173317231
4194304 64.1733193008
8388608 64.1116054828
16777216 64.1782615393
33554432 61.6865091604
67108864 73.3288358314
