# size renameTP
4096 77.6867979056
8192 72.8459453947
16384 42.1613599568
32768 85.3693933651
65536 80.4207614238
131072 74.1586698901
262144 85.468624468
524288 84.2133629764
1048576 75.4307093504
2097152 79.2455820588
4194304 36.2494834449
8388608 53.9671232285
16777216 33.0360092501
33554432 34.6190861946
67108864 82.9724033786
