# size renameTP
4096 38.4148496443
8192 38.4101279825
16384 37.2104099843
32768 32.609191879
65536 36.580458719
131072 27.7659001427
262144 27.2289629033
524288 23.8229100161
1048576 19.6144582094
2097152 14.4302643047
4194304 64.1494425413
8388608 79.9846429486
16777216 67.1167966495
33554432 60.3544010429
67108864 64.1815567878
