# size renameTP
4096 80.3987779386
8192 80.4194679448
16384 80.4492284919
32768 80.3884369272
65536 77.689212076
131072 43.2552144161
262144 68.7937700362
524288 76.3230602494
1048576 70.9461376923
2097152 80.3548470044
4194304 78.7066916429
8388608 78.6856351504
16777216 78.727759408
33554432 67.9366287127
67108864 76.100025874
