# size renameTP
4096 37.76727428
8192 35.30323003
16384 39.35128618
32768 33.24055893
65536 38.25042554
131072 26.75777869
262144 25.63054998
524288 24.965747
1048576 17.89841789
2097152 14.02472025
4194304 8.370230705
8388608 5.221271208
16777216 2.95916655
33554432 1.66633104
67108864 0.827042305
