size throughput
12 68.805177
13 66.213852
14 63.646431
15 70.787139
16 67.184615
17 65.035363
18 66.674890
19 65.246256
20 64.947886
21 67.782043
22 61.227501
23 68.296494
24 67.007646
25 66.737586
26 59.724509
