size throughput
12 57.520388
13 57.623835
14 57.643831
15 57.354380
16 57.647321
17 56.572829
18 56.862024
19 57.721824
20 56.432581
21 57.426709
22 57.660284
23 57.448186
24 56.729252
25 57.153243
26 56.390034
