size throughput
12 95.194306
13 100.538080
14 94.194599
15 99.552214
16 101.881756
17 94.516261
18 91.900699
19 97.057413
20 101.870028
21 97.286580
22 91.563185
23 92.817245
24 104.376725
25 102.502496
26 98.079024
