size throughput
12 99.502290
13 93.035199
14 94.775321
15 97.411769
16 96.189177
17 89.410010
18 94.536991
19 90.233162
20 89.022462
21 95.936421
22 90.997524
23 88.510771
24 95.698359
25 96.636284
26 94.643643
