size throughput
12 111.794673
13 111.666092
14 113.529414
15 112.664758
16 112.914353
17 107.108353
18 113.676667
19 113.037522
20 107.533819
21 113.277095
22 111.854196
23 112.741732
24 106.565387
25 113.688945
26 113.874335
