size throughput
12 62.769123
13 61.558615
14 63.896620
15 61.594636
16 61.120958
17 66.552285
18 58.961673
19 62.085771
20 65.510880
21 60.368392
22 55.595523
23 54.508508
24 55.845144
25 58.810833
26 59.112345

