size throughput
12 65.161013
13 69.083865
14 69.404007
15 63.015427
16 71.344894
17 61.373904
18 70.510176
19 68.066476
20 68.427020
21 61.172256
22 59.045297
23 68.132097
24 60.080700
25 61.263849
26 64.372060
