num clonetime	clonespace	writetime	writespace	greptime
1 0.064030	2361	0.120526	-2344	2.823
2 0.055128	2370	0.107594	7	2.647
3 0.095102	1373	0.099790	4829	2.692
4 0.048200	5317	0.090896	-4	2.734
5 0.097993	4106	0.121002	7587	2.770
6 0.065643	4677	0.117667	3726	2.769
7 0.057624	3711	0.123584	12185	2.794
8 0.067079	63666	0.096152	16459	2.815
