size throughput
12 40.051987
13 37.460241
14 36.356392
15 40.096279
16 37.089732
17 26.629634
18 25.781050
19 22.618856
20 18.777689
21 13.572002
22 65.799387
23 63.792964
24 66.189178
25 62.272201
26 67.306935
