size throughput
12 38.539967
13 40.386385
14 37.241812
15 38.609398
16 38.723788
17 27.902479
18 26.108270
19 24.311427
20 19.832955
21 14.527888
22  8.581463
23  5.295345
24  3.065256
25  1.643301
26  0.788386
