size throughput
12 100.570638
13 106.407430
14 108.981729
15 96.392324
16 103.563839
17 105.775781
18 106.314101
19 103.928173
20 102.440124
21 102.474031
22 98.649878
23 99.666317
24 93.755508
25 102.908821
26 94.819804
