size throughput
12 39.002564
13 38.184685
14 34.550454
15 39.673692
16 38.236166
17 26.289963
18 27.049902
19 26.670827
20 20.178165
21 13.926366
22 72.305900
23 66.297918
24 62.607685
25 67.622168
26 65.045177
