size throughput
12 27.100234
13 25.638449
14 25.048274
15 25.628021
16 24.666320
17 26.571654
18 26.181622
19 25.947788
20 25.555102
21 26.494060
22 25.701589
23 27.621273
24 25.187305
25 28.727658
26 26.134061
