size throughput
12 101.154578
13 110.140043
14 110.783696
15 105.674957
16 109.357742
17 106.942378
18 104.687158
19 109.105509
20 106.515443
21 106.543928
22 106.336598
23 107.501798
24 112.969586
25 112.075835
26 110.837097
