size throughput
12 99.634739
13 99.670787
14 99.025980
15 97.174175
16 100.523324
17 96.256674
18 92.031541
19 90.846654
20 94.004930
21 98.996571
22 99.117655
23 95.923077
24 89.007407
25 79.597681
26 63.817024
