size throughput
12 37.232757
13 37.021831
14 37.952277
15 36.774440
16 36.341765
17 26.427257
18 27.086566
19 62.987127
20 64.696570
21 66.095688
22 63.168321
23 65.228338
24 66.680136
25 64.215930
26 68.146583
